case_id,case_name,factor,level,difficulty,method,solution_hash,feasible,status,objective_value,objective_decision,processed_count,ordinary_count,precision_count,unprocessed_count,mean_utilization,max_utilization,run_seconds,intrinsic_block_value,ordinary_processing_increment,precision_processing_increment,same_precision_reward,precision_mismatch_penalty,cross_crack_loss
CRACK01,裂缝分布梯度1,crack_distribution,1,crack_distribution,VDF,256fbfbf21b6cfc0,True,Feasible,2702.0,1202.0,19,14,5,11,0.906031746031746,1.0,0.0018087999999991666,1500.0,672.0,480.0,300.0,250.0,0.0
CRACK01,裂缝分布梯度1,crack_distribution,1,crack_distribution,MG,d4521239dbbe17a9,True,Feasible,2827.0,1327.0,19,14,5,11,0.906031746031746,1.0,0.0384424999999986,1500.0,672.0,480.0,300.0,125.0,0.0
CRACK01,裂缝分布梯度1,crack_distribution,1,crack_distribution,MG-LS,d4521239dbbe17a9,True,Feasible,2827.0,1327.0,19,14,5,11,0.906031746031746,1.0,0.872798699999997,1500.0,672.0,480.0,300.0,125.0,0.0
CRACK02,裂缝分布梯度2,crack_distribution,2,crack_distribution,VF,8c1337335ce380b2,True,Feasible,2751.328750610017,1327.0,19,14,5,11,0.906031746031746,1.0,0.0010526000000012914,1444.3287506100169,672.0,480.0,300.0,125.0,20.0
CRACK02,裂缝分布梯度2,crack_distribution,2,crack_distribution,VDF,f6d4730d59d9d829,True,Feasible,2566.328750610017,1142.0,19,14,5,11,0.906031746031746,1.0,0.0014562999999974124,1444.3287506100169,672.0,480.0,240.0,250.0,20.0
CRACK02,裂缝分布梯度2,crack_distribution,2,crack_distribution,MG,a1b0bca3c1991d26,True,Feasible,2751.328750610017,1327.0,19,14,5,11,0.906031746031746,1.0,0.05469319999999911,1444.3287506100169,672.0,480.0,300.0,125.0,20.0
CRACK02,裂缝分布梯度2,crack_distribution,2,crack_distribution,MG-LS,a1b0bca3c1991d26,True,Feasible,2751.328750610017,1327.0,19,14,5,11,0.906031746031746,1.0,0.8422059999999973,1444.3287506100169,672.0,480.0,300.0,125.0,20.0
CRACK03,裂缝分布梯度3,crack_distribution,3,crack_distribution,VF,792681bc8c2f226a,True,Feasible,2311.6848736101842,997.0,19,14,5,11,0.906031746031746,1.0,0.00133819999999929,1346.6848736101842,672.0,480.0,120.0,275.0,32.0
CRACK03,裂缝分布梯度3,crack_distribution,3,crack_distribution,VDF,5caa894afcb76c4c,True,Feasible,2616.6848736101842,1302.0,19,14,5,11,0.906031746031746,1.0,0.001411899999997246,1346.6848736101842,672.0,480.0,300.0,150.0,32.0
CRACK03,裂缝分布梯度3,crack_distribution,3,crack_distribution,MG,d362686e60a64edb,True,Feasible,2581.6848736101842,1267.0,19,14,5,11,0.906031746031746,1.0,0.048260800000001325,1346.6848736101842,672.0,480.0,240.0,125.0,32.0
