case_id,case_name,factor,level,scenario_id,scenario_name,method,solution_hash,scenario_objective_if_completed,deterministic_objective,objective_change,value_drop_ratio,feasible_under_scenario,unavailable_assignment_count,overtime_device_count,total_overtime,max_overtime,mean_utilization,max_utilization,intrinsic_block_value,ordinary_processing_increment,precision_processing_increment,same_precision_reward,precision_mismatch_penalty,cross_crack_loss
SCALE01,木板规模梯度1,board_scale,1,U3,全设备降速,MG,32c7eb06db58c6ec,1050.633062819361,1050.633062819361,0.0,0.0,False,0,2,0.6499999129085063,0.3364212116365133,0.5931535692299587,1.0747602692525584,502.63306281936104,576.0,0.0,0.0,0.0,28.0
SCALE01,木板规模梯度1,board_scale,1,U4,普通设备故障,MG,32c7eb06db58c6ec,1050.633062819361,1050.633062819361,0.0,0.0,False,2,0,0.0,0.0,0.3645555522654325,0.9135462288646747,502.63306281936104,576.0,0.0,0.0,0.0,28.0
SCALE01,木板规模梯度1,board_scale,1,U5,精密设备故障,MG,32c7eb06db58c6ec,1050.633062819361,1050.633062819361,0.0,0.0,True,0,0,0.0,0.0,0.5041805338454649,0.9135462288646747,502.63306281936104,576.0,0.0,0.0,0.0,28.0
SCALE01,木板规模梯度1,board_scale,1,U6,隐藏裂缝,MG,32c7eb06db58c6ec,993.9291637982028,1050.633062819361,-56.70389902115812,0.0539711732172162,True,0,0,0.0,0.0,0.5376886022532764,0.979212920522046,453.9291637982029,576.0,0.0,0.0,0.0,36.0
SCALE01,木板规模梯度1,board_scale,1,U7,复合扰动,MG,32c7eb06db58c6ec,993.9291637982028,1050.633062819361,-56.70389902115812,0.0539711732172162,False,2,0,0.0,0.0,0.3816194311841925,0.979212920522046,453.9291637982029,576.0,0.0,0.0,0.0,36.0
SCALE01,木板规模梯度1,board_scale,1,U0,基准情景,MG-LS,c48b9c3f4149e8ae,1382.633062819361,1382.633062819361,0.0,0.0,True,0,0,0.0,0.0,0.6876981126137893,0.9599830304922443,502.63306281936104,384.0,384.0,240.0,100.0,28.0
SCALE01,木板规模梯度1,board_scale,1,U1,普通设备降速,MG-LS,c48b9c3f4149e8ae,1382.633062819361,1382.633062819361,0.0,0.0,True,0,0,0.0,0.0,0.7479703933628843,0.9599830304922443,502.63306281936104,384.0,384.0,240.0,100.0,28.0
SCALE01,木板规模梯度1,board_scale,1,U2,精密设备降速,MG-LS,c48b9c3f4149e8ae,1382.633062819361,1382.633062819361,0.0,0.0,False,0,1,0.899904546518874,0.899904546518874,0.774236909706019,1.1999787881153052,502.63306281936104,384.0,384.0,240.0,100.0,28.0
SCALE01,木板规模梯度1,board_scale,1,U3,全设备降速,MG-LS,c48b9c3f4149e8ae,1382.633062819361,1382.633062819361,0.0,0.0,False,0,1,0.5822631026059994,0.5822631026059994,0.8090566030750462,1.129391800579111,502.63306281936104,384.0,384.0,240.0,100.0,28.0
SCALE01,木板规模梯度1,board_scale,1,U4,普通设备故障,MG-LS,c48b9c3f4149e8ae,1382.633062819361,1382.633062819361,0.0,0.0,False,2,0,0.0,0.0,0.548073131033757,0.9599830304922443,502.63306281936104,384.0,384.0,240.0,100.0,28.0
