case_id,method,objective_value,feasible,processed_count,ordinary_count,precision_count,unprocessed_count,ordinary_blocks,precision_blocks,device_block_groups,device_loads,mean_utilization,max_utilization
CRACK01,MG,2827.0,True,19,14,5,11,B_1_1 B_1_2 B_1_3 B_1_4 B_1_5 B_2_1 B_2_2 B_2_3 B_2_4 B_2_5 B_3_1 B_3_2 B_3_3 B_3_4,B_4_1 B_5_1 B_5_2 B_6_1 B_6_2,O1:B_1_1 B_1_2 B_1_3 B_1_4 B_1_5 B_2_1; O2:B_2_2 B_2_3 B_2_4 B_2_5 B_3_1; O3:B_3_2 B_3_3 B_3_4; P1:B_4_1 B_5_1 B_6_1; P2:B_5_2 B_6_2,O1:4.000/4.500; O2:4.286/4.500; O3:3.600/4.500; P1:4.500/4.500; P2:4.000/4.500,0.906031746031746,1.0
CRACK01,MG-LS,2827.0,True,19,14,5,11,B_1_1 B_1_2 B_1_3 B_1_4 B_1_5 B_2_1 B_2_2 B_2_3 B_2_4 B_2_5 B_3_1 B_3_2 B_3_3 B_3_4,B_4_1 B_5_1 B_5_2 B_6_1 B_6_2,O1:B_1_1 B_1_2 B_1_3 B_1_4 B_1_5 B_2_1; O2:B_2_2 B_2_3 B_2_4 B_2_5 B_3_1; O3:B_3_2 B_3_3 B_3_4; P1:B_4_1 B_5_1 B_6_1; P2:B_5_2 B_6_2,O1:4.000/4.500; O2:4.286/4.500; O3:3.600/4.500; P1:4.500/4.500; P2:4.000/4.500,0.906031746031746,1.0
CRACK02,VF,2751.328750610017,True,19,14,5,11,B_2_3 B_2_5 B_3_1 B_3_2 B_3_5 B_4_1 B_4_2 B_4_4 B_4_5 B_5_1 B_5_2 B_5_3 B_5_4 B_5_5,B_1_1 B_1_2 B_1_3 B_2_1 B_2_2,O1:B_2_3 B_2_5 B_3_1 B_3_2 B_3_5 B_4_1; O2:B_4_2 B_4_4 B_4_5 B_5_1 B_5_2; O3:B_5_3 B_5_4 B_5_5; P1:B_1_1 B_1_2 B_1_3; P2:B_2_1 B_2_2,O1:4.000/4.500; O2:4.286/4.500; O3:3.600/4.500; P1:4.500/4.500; P2:4.000/4.500,0.906031746031746,1.0
CRACK02,VDF,2566.328750610017,True,19,14,5,11,B_1_1 B_1_2 B_1_3 B_2_1 B_2_2 B_2_3 B_2_5 B_3_1 B_3_2 B_3_5 B_4_1 B_5_1 B_5_2 B_5_3,B_4_2 B_4_4 B_4_5 B_5_4 B_5_5,O1:B_1_1 B_1_2 B_1_3 B_2_1 B_2_2 B_2_3; O2:B_2_5 B_3_1 B_3_2 B_3_5 B_4_1; O3:B_5_1 B_5_2 B_5_3; P1:B_4_2 B_4_4 B_4_5; P2:B_5_4 B_5_5,O1:4.000/4.500; O2:4.286/4.500; O3:3.600/4.500; P1:4.500/4.500; P2:4.000/4.500,0.906031746031746,1.0
CRACK02,MG,2751.328750610017,True,19,14,5,11,B_1_1 B_1_2 B_1_3 B_2_1 B_2_2 B_2_3 B_2_5 B_3_1 B_3_2 B_3_5 B_4_1 B_4_2 B_4_4 B_4_5,B_5_1 B_5_2 B_6_1 B_6_2 B_6_3,O1:B_1_1 B_1_2 B_1_3 B_2_1 B_2_2 B_2_3; O2:B_2_5 B_3_1 B_3_2 B_3_5 B_4_1; O3:B_4_2 B_4_4 B_4_5; P1:B_5_1 B_6_1 B_6_2; P2:B_5_2 B_6_3,O1:4.000/4.500; O2:4.286/4.500; O3:3.600/4.500; P1:4.500/4.500; P2:4.000/4.500,0.906031746031746,1.0
CRACK02,MG-LS,2751.328750610017,True,19,14,5,11,B_1_1 B_1_2 B_1_3 B_2_1 B_2_2 B_2_3 B_2_5 B_3_1 B_3_2 B_3_5 B_4_1 B_4_2 B_4_4 B_4_5,B_5_1 B_5_2 B_6_1 B_6_2 B_6_3,O1:B_1_1 B_1_2 B_1_3 B_2_1 B_2_2 B_2_3; O2:B_2_5 B_3_1 B_3_2 B_3_5 B_4_1; O3:B_4_2 B_4_4 B_4_5; P1:B_5_1 B_6_1 B_6_2; P2:B_5_2 B_6_3,O1:4.000/4.500; O2:4.286/4.500; O3:3.600/4.500; P1:4.500/4.500; P2:4.000/4.500,0.906031746031746,1.0
CRACK03,VF,2311.6848736101842,True,19,14,5,11,B_3_1 B_3_5 B_4_1 B_4_4 B_4_5 B_5_1 B_5_3 B_5_4 B_5_5 B_6_1 B_6_2 B_6_3 B_6_4 B_6_5,B_1_1 B_1_3 B_2_1 B_2_3 B_2_5,O1:B_3_1 B_3_5 B_4_1 B_4_4 B_4_5 B_5_1; O2:B_5_3 B_5_4 B_5_5 B_6_1 B_6_2; O3:B_6_3 B_6_4 B_6_5; P1:B_1_1 B_1_3 B_2_1; P2:B_2_3 B_2_5,O1:4.000/4.500; O2:4.286/4.500; O3:3.600/4.500; P1:4.500/4.500; P2:4.000/4.500,0.906031746031746,1.0
CRACK03,VDF,2616.6848736101842,True,19,14,5,11,B_1_1 B_1_3 B_2_1 B_2_3 B_2_5 B_3_1 B_3_5 B_4_1 B_4_4 B_4_5 B_5_1 B_6_1 B_6_2 B_6_3,B_5_3 B_5_4 B_5_5 B_6_4 B_6_5,O1:B_1_1 B_1_3 B_2_1 B_2_3 B_2_5 B_3_1; O2:B_3_5 B_4_1 B_4_4 B_4_5 B_5_1; O3:B_6_1 B_6_2 B_6_3; P1:B_5_3 B_5_4 B_5_5; P2:B_6_4 B_6_5,O1:4.000/4.500; O2:4.286/4.500; O3:3.600/4.500; P1:4.500/4.500; P2:4.000/4.500,0.906031746031746,1.0
CRACK03,MG,2581.6848736101842,True,19,14,5,11,B_1_1 B_1_3 B_2_1 B_2_3 B_2_5 B_3_1 B_3_5 B_4_1 B_4_4 B_4_5 B_5_1 B_5_3 B_5_4 B_5_5,B_6_1 B_6_2 B_6_3 B_6_4 B_6_5,O1:B_1_1 B_1_3 B_2_1 B_2_3 B_2_5 B_3_1; O2:B_3_5 B_4_1 B_4_4 B_4_5 B_5_1; O3:B_5_3 B_5_4 B_5_5; P1:B_6_1 B_6_2 B_6_3; P2:B_6_4 B_6_5,O1:4.000/4.500; O2:4.286/4.500; O3:3.600/4.500; P1:4.500/4.500; P2:4.000/4.500,0.906031746031746,1.0
CRACK03,MG-LS,2581.6848736101842,True,19,14,5,11,B_1_1 B_1_3 B_2_1 B_2_3 B_2_5 B_3_1 B_3_5 B_4_1 B_4_4 B_4_5 B_5_1 B_5_3 B_5_4 B_5_5,B_6_1 B_6_2 B_6_3 B_6_4 B_6_5,O1:B_1_1 B_1_3 B_2_1 B_2_3 B_2_5 B_3_1; O2:B_3_5 B_4_1 B_4_4 B_4_5 B_5_1; O3:B_5_3 B_5_4 B_5_5; P1:B_6_1 B_6_2 B_6_3; P2:B_6_4 B_6_5,O1:4.000/4.500; O2:4.286/4.500; O3:3.600/4.500; P1:4.500/4.500; P2:4.000/4.500,0.906031746031746,1.0
