case_id,case_name,factor,level,difficulty,method,solution_hash,feasible,status,objective_value,objective_decision,processed_count,ordinary_count,precision_count,unprocessed_count,mean_utilization,max_utilization,run_seconds,intrinsic_block_value,ordinary_processing_increment,precision_processing_increment,same_precision_reward,precision_mismatch_penalty,cross_crack_loss
C06,严重裂纹与相邻损失,scenario,,clustered,VDF,f419016b8a68c40a,True,Feasible,2180.515352584957,1084.0,22,16,6,8,0.9160382101558572,0.9803921568627452,0.0013161000000003753,1104.5153525849569,384.0,720.0,480.0,500.0,8.0
C06,严重裂纹与相邻损失,scenario,,clustered,MG,10c0b0f5917dca58,True,Feasible,2790.515352584957,1694.0,22,16,6,8,0.9616839248582568,0.9803921568627452,0.04962910000000065,1104.5153525849569,384.0,720.0,840.0,250.0,8.0
C06,严重裂纹与相邻损失,scenario,,clustered,MG-LS,10c0b0f5917dca58,True,Feasible,2790.515352584957,1694.0,22,16,6,8,0.9616839248582568,0.9803921568627452,1.051658200000002,1104.5153525849569,384.0,720.0,840.0,250.0,8.0
C07,宽幅板局部搜索收益,scenario,,cross_region,VF,7a0ba37827736ade,True,Feasible,2535.542063978215,1100.0,19,16,3,16,0.8120898042080574,0.9615384615384613,0.0018729999999997915,1530.542063978215,960.0,180.0,0.0,40.0,95.0
C07,宽幅板局部搜索收益,scenario,,cross_region,VDF,7a0ba37827736ade,True,Feasible,2535.542063978215,1100.0,19,16,3,16,0.8120898042080574,0.9615384615384613,0.014845400000002229,1530.542063978215,960.0,180.0,0.0,40.0,95.0
C07,宽幅板局部搜索收益,scenario,,cross_region,MG,4f6b31069ca8f02b,True,Feasible,2915.542063978215,1480.0,19,16,3,16,0.8148821896895672,0.9615384615384613,0.05437559999999664,1530.542063978215,960.0,180.0,360.0,20.0,95.0
C07,宽幅板局部搜索收益,scenario,,cross_region,MG-LS,4f6b31069ca8f02b,True,Feasible,2915.542063978215,1480.0,19,16,3,16,0.8148821896895672,0.9615384615384613,1.2866523999999977,1530.542063978215,960.0,180.0,360.0,20.0,95.0
C08,精密设备瓶颈与普通产能,scenario,,precision_scarce,VF,c3595626ccf818fc,True,Feasible,3369.9276837800717,2033.0,30,28,2,0,0.46807980782455266,0.9696969696969697,0.002505199999998098,1352.927683780072,2016.0,192.0,0.0,175.0,16.0
C08,精密设备瓶颈与普通产能,scenario,,precision_scarce,VDF,ee7337ff0239a697,True,Feasible,3496.9276837800717,2160.0,30,30,0,0,0.3423888049732247,0.9550812396009409,0.0026496999999992,1352.927683780072,2160.0,0.0,0.0,0.0,16.0
C08,精密设备瓶颈与普通产能,scenario,,precision_scarce,MG,ee7337ff0239a697,True,Feasible,3496.9276837800717,2160.0,30,30,0,0,0.3423888049732247,0.9550812396009409,0.0603435999999995,1352.927683780072,2160.0,0.0,0.0,0.0,16.0
C08,精密设备瓶颈与普通产能,scenario,,precision_scarce,MG-LS,ee7337ff0239a697,True,Feasible,3496.9276837800717,2160.0,30,30,0,0,0.3423888049732247,0.9550812396009409,0.2554957000000009,1352.927683780072,2160.0,0.0,0.0,0.0,16.0
C09,设备速度非均衡,scenario,,heterogeneous,VF,fd525bd5569c0aba,True,Feasible,2235.6349154020645,1034.0,24,19,5,6,0.7728800478831815,0.9890109890109888,0.00175429999999821,1217.6349154020647,684.0,540.0,160.0,350.0,16.0
C09,设备速度非均衡,scenario,,heterogeneous,VDF,a450f46e1f1e2aa6,True,Feasible,2245.6349154020645,1044.0,24,19,5,6,0.7755550854533423,0.9890109890109888,0.0015426000000005047,1217.6349154020647,684.0,540.0,240.0,420.0,16.0
C09,设备速度非均衡,scenario,,heterogeneous,MG,083ad9e94a26f044,True,Feasible,2570.6349154020645,1369.0,24,19,5,6,0.7728800478831815,0.9890109890109888,0.04056860000000029,1217.6349154020647,684.0,540.0,320.0,175.0,16.0
C09,设备速度非均衡,scenario,,heterogeneous,MG-LS,083ad9e94a26f044,True,Feasible,2570.6349154020645,1369.0,24,19,5,6,0.7728800478831815,0.9890109890109888,1.1357181999999995,1217.6349154020647,684.0,540.0,320.0,175.0,16.0
C10,小规模极紧资源,scenario,,low_capacity,VF,99dbdc3df4d03259,True,Feasible,1036.1007464029112,210.0,6,5,1,18,0.7787433155080214,0.9191176470588235,0.0006918000000020186,844.1007464029113,300.0,120.0,0.0,210.0,18.0
