case_id,case_name,scenario_id,scenario_name,method,solution_hash,scenario_objective_if_completed,deterministic_objective,objective_change,value_drop_ratio,feasible_under_scenario,unavailable_assignment_count,overtime_device_count,total_overtime,max_overtime,mean_utilization,max_utilization,intrinsic_block_value,ordinary_processing_increment,precision_processing_increment,same_precision_reward,precision_mismatch_penalty,cross_crack_loss
C01,均衡基准：VDF修正VF,U0,基准情景,VF,ea3c491a1f9cc6b0,2978.6553675601435,2978.6553675601435,0.0,0.0,True,0,0,0.0,0.0,0.8911208791208791,1.0,2705.855367560144,184.79999999999995,120.0,10.0,30.0,12.0
C01,均衡基准：VDF修正VF,U1,普通设备降速,VF,ea3c491a1f9cc6b0,2978.6553675601435,2978.6553675601435,0.0,0.0,False,0,2,0.8888888888888875,0.5555555555555545,0.9537240537240537,1.111111111111111,2705.855367560144,184.79999999999995,120.0,10.0,30.0,12.0
C01,均衡基准：VDF修正VF,U2,精密设备降速,VF,ea3c491a1f9cc6b0,2978.6553675601435,2978.6553675601435,0.0,0.0,False,0,2,1.7032967032967035,1.4285714285714288,1.0315604395604396,1.2857142857142858,2705.855367560144,184.79999999999995,120.0,10.0,30.0,12.0
C01,均衡基准：VDF修正VF,U3,全设备效率下降,VF,ea3c491a1f9cc6b0,2978.6553675601435,2978.6553675601435,0.0,0.0,False,0,3,4.563492063492063,1.9444444444444446,1.1102319902319902,1.3888888888888888,2705.855367560144,184.79999999999995,120.0,10.0,30.0,12.0
C01,均衡基准：VDF修正VF,U4,普通设备故障,VF,ea3c491a1f9cc6b0,2978.6553675601435,2978.6553675601435,0.0,0.0,False,4,0,0.0,0.0,0.6991208791208792,1.0,2705.855367560144,184.79999999999995,120.0,10.0,30.0,12.0
C01,均衡基准：VDF修正VF,U5,精密设备故障,VF,ea3c491a1f9cc6b0,2978.6553675601435,2978.6553675601435,0.0,0.0,False,2,0,0.0,0.0,0.7434285714285714,1.0,2705.855367560144,184.79999999999995,120.0,10.0,30.0,12.0
C01,均衡基准：VDF修正VF,U6,隐藏裂纹出现,VF,ea3c491a1f9cc6b0,2932.9783974655747,2978.6553675601435,-45.67697009456879,0.015334761648502964,False,0,1,0.13537903575870303,0.13537903575870303,0.8965360405512272,1.0270758071517405,2661.678397465575,184.79999999999995,120.0,10.0,30.0,13.5
C01,均衡基准：VDF修正VF,U7,复合压力情景,VF,ea3c491a1f9cc6b0,2873.908318793553,2978.6553675601435,-104.74704876659052,0.03516588387745919,False,4,3,2.0596376442315494,1.0,0.8300778134615697,1.2,2605.6083187935533,184.79999999999995,120.0,10.0,30.0,16.5
C01,均衡基准：VDF修正VF,U0,基准情景,VDF,a6ba5e251d204dad,2989.6553675601435,2989.6553675601435,0.0,0.0,True,0,0,0.0,0.0,0.8911208791208791,1.0,2705.855367560144,184.79999999999995,120.0,15.0,24.0,12.0
C01,均衡基准：VDF修正VF,U1,普通设备降速,VDF,a6ba5e251d204dad,2989.6553675601435,2989.6553675601435,0.0,0.0,False,0,2,0.8888888888888875,0.5555555555555545,0.9537240537240537,1.111111111111111,2705.855367560144,184.79999999999995,120.0,15.0,24.0,12.0
